ANO4,CH03,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,PP07H,P21,PP3E_TOT,PONDERA,IPCF
2005.0,6.0,2.0,89.0,4.0,4.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,1595.0,500.0
2005.0,1.0,1.0,75.0,2.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1795.0,612.0
2005.0,2.0,2.0,69.0,2.0,1.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,1795.0,612.0
2005.0,1.0,1.0,51.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,800.0,44.0,1179.0,677.5
2005.0,2.0,2.0,48.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,380.0,24.0,1179.0,677.5
2005.0,1.0,1.0,25.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,1770.0,32.0,1105.0,1792.5
2005.0,10.0,1.0,25.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,600.0,45.0,1105.0,1792.5
2005.0,10.0,1.0,25.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,600.0,45.0,1105.0,1792.5
2005.0,10.0,1.0,29.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,1600.0,32.0,1105.0,1792.5
2005.0,1.0,1.0,43.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,2000.0,72.0,1169.0,1000.0
2005.0,2.0,2.0,45.0,1.0,2.0,6.0,1.0,3.0,0.0,1.0,1000.0,35.0,1169.0,1000.0
2005.0,3.0,2.0,14.0,5.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1169.0,1000.0
2005.0,1.0,2.0,30.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,1200.0,28.0,1042.0,3100.0
2005.0,1.0,1.0,48.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,55.0,1211.0,30.0
2005.0,2.0,2.0,54.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,100.0,66.0,1211.0,30.0
2005.0,3.0,2.0,18.0,5.0,4.0,3.0,1.0,2.0,0.0,0.0,50.0,66.0,1211.0,30.0
2005.0,3.0,2.0,16.0,5.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1211.0,30.0
2005.0,3.0,1.0,13.0,5.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1211.0,30.0
2005.0,1.0,1.0,77.0,2.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1381.0,2100.0
2005.0,2.0,2.0,73.0,2.0,1.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,1381.0,2100.0
2005.0,1.0,2.0,47.0,3.0,2.0,4.0,1.0,3.0,0.0,2.0,400.0,20.0,1465.0,600.0
2005.0,3.0,1.0,14.0,5.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1465.0,600.0
2005.0,3.0,1.0,9.0,5.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1465.0,600.0
2005.0,3.0,1.0,6.0,5.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1465.0,600.0
2005.0,1.0,1.0,62.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,700.0,20.0,1417.0,350.0
2005.0,2.0,2.0,67.0,2.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,1417.0,350.0
2005.0,1.0,1.0,69.0,2.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1333.0,600.0
2005.0,2.0,2.0,63.0,2.0,12.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,1333.0,600.0
2005.0,1.0,1.0,47.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,1500.0,45.0,1200.0,650.0
2005.0,2.0,2.0,44.0,2.0,1.0,6.0,1.0,3.0,0.0,2.0,500.0,18.0,1200.0,650.0
2005.0,3.0,2.0,14.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1200.0,650.0
2005.0,3.0,1.0,11.0,5.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1200.0,650.0
2005.0,1.0,1.0,41.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,2000.0,60.0,1131.0,1633.3333333333333
2005.0,2.0,2.0,47.0,1.0,2.0,6.0,1.0,3.0,0.0,1.0,2100.0,40.0,1131.0,1633.3333333333333
2005.0,3.0,1.0,7.0,5.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1131.0,1633.3333333333333
2005.0,1.0,2.0,33.0,5.0,4.0,2.0,1.0,3.0,0.0,2.0,500.0,50.0,1131.0,500.0
2005.0,1.0,1.0,31.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,600.0,5.0,1269.0,400.0
2005.0,2.0,2.0,35.0,2.0,4.0,6.0,1.0,2.0,0.0,0.0,600.0,5.0,1269.0,400.0
2005.0,3.0,1.0,1.0,5.0,4.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1269.0,400.0
2005.0,1.0,1.0,50.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,2200.0,54.0,1062.0,550.0
2005.0,2.0,2.0,47.0,2.0,1.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,1062.0,550.0
2005.0,3.0,2.0,18.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1062.0,550.0
2005.0,3.0,2.0,16.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1062.0,550.0
2005.0,1.0,2.0,57.0,4.0,1.0,4.0,1.0,3.0,0.0,1.0,800.0,46.0,1230.0,1755.0
2005.0,3.0,2.0,27.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,2350.0,50.0,1230.0,1755.0
2005.0,1.0,1.0,58.0,5.0,2.0,5.0,1.0,2.0,0.0,0.0,1500.0,36.0,1196.0,1500.0
2005.0,1.0,1.0,55.0,1.0,4.0,3.0,1.0,2.0,0.0,0.0,500.0,6.0,1089.0,253.33333333333334
2005.0,3.0,1.0,21.0,5.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1089.0,253.33333333333334
2005.0,3.0,1.0,22.0,5.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1089.0,253.33333333333334
2005.0,2.0,2.0,54.0,1.0,4.0,4.0,1.0,3.0,0.0,2.0,100.0,9.0,1089.0,253.33333333333334
2005.0,3.0,2.0,31.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,680.0,40.0,1089.0,253.33333333333334
2005.0,3.0,2.0,18.0,5.0,4.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,1089.0,253.33333333333334
2005.0,1.0,1.0,39.0,1.0,4.0,4.0,1.0,3.0,0.0,2.0,1200.0,60.0,1152.0,1350.0
2005.0,2.0,2.0,37.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,1500.0,40.0,1152.0,1350.0
2005.0,1.0,2.0,23.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,2000.0,84.0,1055.0,2250.0
2005.0,1.0,1.0,44.0,1.0,1.0,6.0,1.0,3.0,0.0,1.0,1000.0,21.0,1452.0,700.0
2005.0,2.0,2.0,39.0,1.0,2.0,6.0,1.0,3.0,0.0,1.0,0.0,30.0,1452.0,700.0
2005.0,3.0,2.0,7.0,5.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1452.0,700.0
2005.0,3.0,1.0,2.0,5.0,2.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1452.0,700.0
2005.0,1.0,2.0,25.0,1.0,2.0,5.0,1.0,2.0,0.0,0.0,150.0,22.0,908.0,400.0
