ANO4,PONDERA,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CAT_OCUP,PP07H,P21,PP04A,PP04C
2005,1150.0,2.0,21.0,1.0,1.0,5.0,1.0,0.0,1100.0,3.0,1.0,700.0,2.0,
2005,1890.0,1.0,53.0,3.0,4.0,4.0,1.0,0.0,800.0,2.0,0.0,800.0,2.0,1.0
2005,1595.0,1.0,67.0,5.0,1.0,2.0,1.0,0.0,500.0,3.0,1.0,800.0,2.0,9.0
2005,1595.0,2.0,62.0,5.0,4.0,2.0,1.0,0.0,500.0,2.0,0.0,300.0,2.0,1.0
2005,1595.0,2.0,89.0,4.0,4.0,1.0,3.0,7.0,500.0,0.0,0.0,0.0,,
2005,1795.0,1.0,75.0,2.0,1.0,5.0,3.0,1.0,612.0,0.0,0.0,0.0,,
2005,1795.0,2.0,69.0,2.0,1.0,4.0,3.0,4.0,612.0,0.0,0.0,0.0,,
2005,1179.0,1.0,51.0,2.0,1.0,2.0,1.0,0.0,677.5,3.0,1.0,800.0,2.0,2.0
2005,1179.0,2.0,48.0,2.0,1.0,2.0,1.0,0.0,677.5,3.0,1.0,380.0,2.0,
2005,1105.0,1.0,25.0,5.0,1.0,4.0,1.0,0.0,1792.5,3.0,1.0,1770.0,2.0,12.0
2005,1105.0,1.0,25.0,5.0,1.0,4.0,1.0,0.0,1792.5,3.0,1.0,600.0,2.0,5.0
2005,1105.0,1.0,25.0,5.0,1.0,4.0,1.0,0.0,1792.5,3.0,1.0,600.0,2.0,8.0
2005,1105.0,1.0,29.0,5.0,1.0,6.0,1.0,0.0,1792.5,3.0,1.0,1600.0,2.0,12.0
2005,1169.0,1.0,43.0,1.0,2.0,4.0,1.0,0.0,1000.0,1.0,0.0,2000.0,2.0,5.0
2005,1169.0,2.0,45.0,1.0,2.0,6.0,1.0,0.0,1000.0,3.0,1.0,1000.0,1.0,4.0
2005,1169.0,2.0,14.0,5.0,2.0,3.0,3.0,3.0,1000.0,0.0,0.0,0.0,,
2005,1042.0,2.0,30.0,5.0,1.0,6.0,1.0,0.0,3100.0,3.0,1.0,1200.0,1.0,12.0
2005,1211.0,1.0,48.0,2.0,4.0,1.0,1.0,0.0,30.0,2.0,0.0,0.0,2.0,1.0
2005,1211.0,2.0,54.0,2.0,4.0,1.0,1.0,0.0,30.0,2.0,0.0,100.0,2.0,2.0
2005,1211.0,2.0,18.0,5.0,4.0,3.0,1.0,0.0,30.0,2.0,0.0,50.0,2.0,2.0
2005,1211.0,2.0,16.0,5.0,4.0,3.0,3.0,3.0,30.0,0.0,0.0,0.0,,
